Energy,LAC
0.30715946,7670000
0.30869526,7660000
0.31023873,7470000
0.31178993,7480000
0.31334888,7400000
0.31491562,7350000
0.3164902,7630000
0.31807265,7300000
0.31966301,7260000
0.32126133,7330000
0.32286764,7160000
0.32448197,7230000
0.32610438,7240000
0.32773491,7090000
0.32937358,6900000
0.33102045,7010000
0.33267555,6930000
0.33433893,6960000
0.33601062,6780000
0.33769068,6770000
0.33937913,6880000
0.34107602,6830000
0.3427814,6640000
0.34449531,6700000
0.34621779,6750000
0.34794888,6670000
0.34968862,6570000
0.35143706,6490000
0.35319425,6550000
0.35496022,6470000
0.35673502,6370000
0.3585187,6350000
0.36031129,6480000
0.36211285,6450000
0.36392341,6370000
0.36574303,6390000
0.36757174,6290000
0.3694096,6370000
0.37125665,6300000
0.37311293,6250000
0.3749785,6160000
0.37685339,6260000
0.37873766,6250000
0.38063135,6200000
0.3825345,6090000
0.38444718,6010000
0.38636941,6010000
0.38830126,6030000
0.39024276,5930000
0.39219398,5820000
0.39415495,5880000
0.39612572,5740000
0.39810635,5860000
0.40009688,5810000
0.40209737,5820000
0.40410785,5740000
0.40612839,5630000
0.40815904,5530000
0.41019983,5440000
0.41225083,5700000
0.41431208,5490000
0.41638364,5430000
0.41846556,5440000
0.42055789,5420000
0.42266068,5380000
0.42477398,5360000
0.42477688,5220000
0.42582312,5370000
0.42689785,5290000
0.42903234,5590000
0.4311775,5450000
0.43333339,5570000
0.43550006,5430000
0.43767756,5400000
0.43986595,5440000
0.44206528,5420000
0.4442756,5330000
0.44649698,5390000
0.44872947,5440000
0.45097311,5400000
0.45322798,5250000
0.45549412,5170000
0.45777159,5120000
0.46006045,5180000
0.46236075,5070000
0.46467255,5070000
0.46699592,4990000
0.4693309,5060000
0.47167755,5050000
0.47403594,5110000
0.47640612,4890000
0.47878815,4890000
0.48118209,4960000
0.483588,4750000
0.48600594,4690000
0.48843597,4780000
0.49087815,4710000
0.4909216,4760000
0.49227841,4810000
0.49333254,4640000
0.4957992,4660000
0.4982782,4740000
0.50076959,4750000
0.50327344,4650000
0.5057898,4690000
0.50831875,4610000
0.51086035,4560000
0.51341465,4590000
0.51598172,4500000
0.51856163,4460000
0.52115444,4400000
0.52376021,4430000
0.52637901,4440000
0.52901091,4360000
0.53165596,4310000
0.53431424,4280000
0.53698581,4200000
0.53967074,4180000
0.5423691,4120000
0.54508094,4100000
0.54780635,4180000
0.55054538,4050000
0.5532981,3980000
0.5560646,4040000
0.55884492,4030000
0.56163914,3940000
0.56444734,3940000
0.56726958,3860000
0.57010592,3880000
0.57295645,3910000
0.57582123,3860000
0.57870034,3760000
0.58159384,3900000
0.58450181,3850000
0.58742432,3690000
0.59036144,3640000
0.59331325,3510000
0.59410753,3620000
0.59589253,3650000
0.59627982,3660000
0.59926122,3700000
0.60225752,3670000
0.60526881,3610000
0.60829515,3620000
0.61133663,3520000
0.61439331,3550000
0.61746528,3470000
0.6205526,3560000
0.62365537,3440000
0.62677364,3360000
0.62990751,3440000
0.63305705,3440000
0.63622234,3360000
0.63940345,3280000
0.64260046,3340000
0.64581347,3260000
0.64904253,3320000
0.65228775,3250000
0.65554919,3260000
0.65882693,3230000
0.66212107,3160000
0.66543167,3110000
0.66875883,3090000
0.67210262,3050000
0.67546314,3100000
0.67884045,2960000
0.68223466,3010000
0.68564583,2960000
0.68907406,2910000
0.69251943,2920000
0.69598202,2970000
0.69946194,2840000
0.70295924,2900000
0.70647404,2860000
0.71000641,2800000
0.71355644,2800000
0.71712423,2740000
0.72070985,2720000
0.7243134,2760000
0.72793496,2680000
0.73157464,2670000
0.73523251,2650000
0.73890867,2660000
0.74260322,2570000
0.74631623,2630000
0.75004781,2550000
0.75379805,2480000
0.75756704,2570000
0.76135488,2530000
0.76516165,2420000
0.76898746,2440000
0.7728324,2440000
0.77669656,2440000
0.78058004,2400000
0.78448294,2310000
0.78840536,2370000
0.79234738,2330000
0.79630912,2300000
0.80029067,2290000
0.80429212,2290000
0.80831358,2240000
0.81235515,2230000
0.81641693,2160000
0.82049901,2170000
0.8246015,2150000
0.82872451,2200000
0.83286813,2130000
0.83703248,2120000
0.84121764,2100000
0.84542373,2100000
0.84965084,2060000
0.8538991,2110000
0.85816859,2060000
0.86245944,1990000
0.86677173,1950000
0.87110559,2020000
0.87546112,1950000
0.87983843,1890000
0.88423762,1930000
0.88865881,1870000
0.8931021,1860000
0.89756761,1870000
0.90205545,712000
0.90656573,717000
0.91109856,719000
0.91565405,719000
0.92023232,711000
0.92483348,686000
0.92945765,686000
0.93410494,677000
0.93877546,683000
0.94346934,671000
0.94818668,671000
0.95292762,658000
0.95769226,651000
0.96248072,639000
0.96729312,632000
0.97212959,646000
0.97699023,610000
0.98187519,630000
0.98678456,626000
0.99171848,598000
0.99667708,616000
1.0016605,605000
1.0066688,597000
1.0117021,590000
1.0167606,591000
1.0218444,560000
1.0269536,588000
1.0320884,571000
1.0372489,561000
1.0424351,553000
1.0476473,548000
1.0528855,535000
1.0581499,537000
1.0634407,541000
1.0687579,526000
1.0741017,538000
1.0794722,521000
1.0848695,516000
1.0902939,526000
1.0957454,502000
1.1012241,491000
1.1067302,503000
1.1122639,482000
1.1178252,468000
1.1234143,498000
1.1290314,484000
1.1346765,467000
1.1403499,470000
1.1460517,451000
1.1517819,462000
1.1575408,439000
1.1633285,469000
1.1691452,444000
1.1749909,435000
1.1808659,433000
1.1867702,430000
1.192704,422000
1.1986676,423000
1.2046609,427000
1.2106842,427000
1.2167376,414000
1.2228213,411000
1.2289354,400000
1.2350801,416000
1.2412555,404000
1.2474618,378000
1.2536991,383000
1.2599676,397000
1.2662674,377000
1.2725988,356000
1.2789618,353000
1.2853566,366000
1.2917833,356000
1.2982423,363000
1.3047335,362000
1.3112571,355000
1.3178134,347000
1.3244025,349000
1.3310245,339000
1.3376796,331000
1.344368,322000
1.3510899,333000
1.3578453,335000
1.3646345,320000
1.3714577,318000
1.378315,319000
1.3852066,305000
1.3921326,309000
1.3990933,313000
1.4060887,299000
1.4131192,302000
1.4201848,300000
1.4272857,286000
1.4344221,296000
1.4415942,297000
1.4488022,272000
1.4560462,299000
1.4633265,282000
1.4706431,274000
1.4779963,273000
1.4853863,265000
1.4928132,259000
1.5002773,258000
1.5077787,251000
1.5153176,258000
1.5228942,262000
1.5305086,246000
1.5381612,247000
1.545852,256000
1.5535812,239000
1.5613491,246000
1.5691559,241000
1.5770017,230000
1.5848867,232000
1.5928111,222000
1.6007752,232000
1.608779,226000
1.6168229,229000
1.624907,218000
1.6330316,219000
1.6411967,220000
1.6494027,215000
1.6576497,213000
1.665938,212000
1.6742677,209000
1.682639,197000
1.6910522,204000
1.6995075,199000
1.708005,203000
1.716545,202000
1.7251278,189000
1.7337534,196000
1.7424222,192000
1.7511343,187000
1.7598899,187000
1.7686894,177000
1.7775328,180000
1.7864205,173000
1.7953526,169000
1.8043294,172000
1.8088491,172000
1.809551,161000
1.813351,508000
1.8224178,518000
1.8315299,514000
1.8406875,496000
1.8498909,498000
1.8591404,482000
1.8684361,479000
1.8709394,491000
1.8722607,498000
1.8777783,619000
1.8871672,609000
1.896603,625000
1.906086,589000
1.9156165,612000
1.9251945,633000
1.9348205,624000
1.9444946,629000
1.9542171,626000
1.9639882,643000
1.9738081,625000
1.9836772,630000
1.9935955,634000
2.0035635,625000
2.0135813,636000
2.0236492,601000
2.0337675,597000
2.0439363,613000
2.054156,601000
2.0644268,600000
2.0747489,586000
2.0851227,570000
2.0955483,562000
2.106026,561000
2.1165562,549000
2.1271389,548000
2.1377746,552000
2.1484635,538000
2.1592058,510000
2.1700018,524000
2.1808519,519000
2.1917561,525000
2.2027149,509000
2.2137285,490000
2.2247971,494000
2.2359211,490000
2.2471007,478000
2.2583362,481000
2.2696279,466000
2.2786505,457000
2.280976,460000
2.2833493,527000
2.2923809,512000
2.3038428,523000
2.315362,509000
2.3269388,512000
2.3385735,519000
2.3502664,491000
2.3620177,485000
2.3738278,481000
2.385697,473000
2.3976254,482000
2.4096136,462000
2.4216616,460000
2.4337699,441000
2.4459388,442000
2.4581685,450000
2.4704593,434000
2.4828116,440000
2.4952257,430000
2.5077018,421000
2.5202403,429000
2.5328415,400000
2.5455057,415000
2.5582333,405000
2.5710244,400000
2.5716555,396000
2.5781443,420000
2.5838796,417000
2.596799,399000
2.6097829,401000
2.6228319,411000
2.635946,391000
2.6491257,386000
2.6623714,387000
2.6756832,383000
2.6890617,382000
2.702507,364000
2.7160195,373000
2.7295996,364000
2.7432476,356000
2.7569638,354000
2.7707486,355000
2.7846024,353000
2.7985254,349000
2.812518,329000
2.8140455,340000
2.8251547,337000
2.8265806,354000
2.8407135,348000
2.8549171,362000
2.8691917,331000
2.8835376,345000
2.8979553,330000
2.9124451,326000
2.9270073,321000
2.9416424,310000
2.9563506,308000
2.9711323,310000
2.985988,298000
3.0009179,308000
3.0159225,289000
3.0310021,301000
3.0461571,297000
3.0613879,284000
3.0766949,285000
3.0920783,284000
3.1075387,280000
3.1230764,282000
3.1386918,272000
3.1543853,264000
3.1701572,262000
3.186008,263000
3.201938,258000
3.2179477,245000
3.2340374,247000
3.2502076,245000
3.2664587,253000
3.282791,234000
3.2992049,237000
3.3157009,241000
3.3322794,240000
3.3489408,234000
3.3656856,234000
3.382514,220000
3.3994265,226000
3.4164237,217000
3.4335058,216000
3.4506733,220000
3.4679267,212000
3.4852663,213000
3.5026927,60200
3.5202061,65200
3.5378072,63100
3.5554962,63300
3.5732737,60500
3.59114,57400
3.6090957,59200
3.6271412,58900
3.6452769,58700
3.6635033,56700
3.6818208,56900
3.7002299,57600
3.7187311,53500
3.7373247,55000
3.7560114,51700
3.7747914,53500
3.7936654,49700
3.8126337,51300
3.8316969,51200
3.8508554,48200
3.8701096,50000
3.8894602,47700
3.9089075,49400
3.928452,46300
3.9480943,46100
3.9678347,42900
3.9876739,46600
4.055024,44200
4.334821,37000
4.633924,29700
4.953664,22900
5.295467,19000
5.660855,15900
6.051453,2880
6.469004,2880
6.915365,2200
7.392525,1620
7.902609,1450
8.44789,1190
9.030794,821
9.653919,852
10.00266,692
10.15577,761
10.19659,581
10.25783,2340
10.32004,2130
10.41094,2330
11.03212,1860
11.31312,1770
11.48628,1840
11.53246,1470
11.60172,2440
11.77488,2240
11.79334,2170
11.8578,2270
12.0393,2040
12.0877,2250
12.1603,2520
12.3418,2410
12.60708,2040
13.47697,1730
14.40688,1270
15.40095,1220
16.46362,1070
17.59961,378
18.81398,207
20.11215,108
21.49988,90
22.98338,46
24.56923,59.5
26.2645,17.7
28.07676,11.3
30.01405,11.9
32.08502,10.8
34.29889,6.4
36.66551,5.65
39.19543,1.13
41.89992,9.43
44.79101,4.78
47.88159,8.73
51.18542,20.2
54.71721,26.5
58.4927,12.8
62.5287,12.7
66.84318,28.7
68.1345,17
69.17738,22.2
69.45548,43.6
69.87263,27.9
70.9155,28.3
71.45536,31.2
76.38578,29.1
81.6564,48.1
87.29069,42.7
93.31374,30.4
99.75239,34.1
106.6353,3.01
113.9931,3.63
121.8587,2.94
130.2669,3.85
139.2553,3.55
148.864,3.13
159.1356,2.74
170.1159,3.75
181.8539,4.39
194.4018,4.69
207.8156,1290
222.1548,1190
237.4835,975
253.8699,813
271.3869,677
290.1126,587
310.1304,526
331.5294,488
354.4049,393
378.8588,350
405.0001,313
432.9451,271
