Energy,LAC
"6.130500E-03	",9.1079E+05
"1.1159722E-01	",3.1704E+05
"1.1215520E-01	",3.1886E+05
"1.1271598E-01	",3.2069E+05
"1.1327956E-01	",3.2252E+05
"1.1384596E-01	",3.2436E+05
"1.1441519E-01	",3.2621E+05
"1.1498726E-01	",3.2808E+05
"1.1556220E-01	",3.2995E+05
"1.1614001E-01	",3.3184E+05
"1.1672071E-01	",3.3374E+05
"1.1730431E-01	",3.3563E+05
"1.1789083E-01	",3.3752E+05
"1.1848029E-01	",3.3941E+05
"1.1907269E-01	",3.4130E+05
"1.1966805E-01	",3.4319E+05
"1.2026639E-01	",3.4508E+05
"1.2086772E-01	",3.4698E+05
"1.2147206E-01	",3.4887E+05
"1.2207942E-01	",3.5076E+05
"1.2268982E-01	",3.5265E+05
"1.2330327E-01	",3.5452E+05
"1.2391979E-01	",3.5641E+05
"1.2453939E-01	",3.5829E+05
"1.2516208E-01	",3.6016E+05
"1.2578789E-01	",3.6201E+05
"1.2641683E-01	",3.6386E+05
"1.2704892E-01	",3.6572E+05
"1.2768416E-01	",3.6755E+05
"1.2832258E-01	",3.6938E+05
"1.2896419E-01	",3.7122E+05
"1.2960902E-01	",3.7303E+05
"1.3025706E-01	",3.7483E+05
"1.3090835E-01	",3.7662E+05
"1.3156289E-01	",3.7842E+05
"1.3222070E-01	",3.8017E+05
"1.3288181E-01	",3.8195E+05
"1.3354621E-01	",3.8368E+05
"1.3421395E-01	",3.8542E+05
"1.3488502E-01	",3.8714E+05
"1.3555944E-01	",3.8884E+05
"1.3623724E-01	",3.9052E+05
"1.3691842E-01	",3.9218E+05
"1.3760302E-01	",3.9380E+05
"1.3829103E-01	",3.9542E+05
"1.3898249E-01	",3.9700E+05
"1.3967740E-01	",3.9856E+05
"1.4037579E-01	",4.0011E+05
"1.4107766E-01	",4.0163E+05
"1.4178305E-01	",4.0312E+05
"1.4249197E-01	",4.0461E+05
"1.4320443E-01	",4.0603E+05
"1.4392045E-01	",4.0746E+05
"1.4464005E-01	",4.0885E+05
"1.4536325E-01	",4.1022E+05
"1.4609007E-01	",4.1157E+05
"1.4682052E-01	",4.1287E+05
"1.4755462E-01	",4.1416E+05
"1.4829239E-01	",4.1539E+05
"1.4903386E-01	",4.1661E+05
"1.4977903E-01	",4.1781E+05
"1.5052792E-01	",4.1895E+05
"1.5128056E-01	",4.2006E+05
"1.5203696E-01	",4.2115E+05
"1.5279715E-01	",4.2221E+05
"1.5356113E-01	",4.2323E+05
"1.5432894E-01	",4.2421E+05
"1.5510058E-01	",4.2516E+05
"1.5587609E-01	",4.2607E+05
"1.5665547E-01	",4.2695E+05
"1.5743875E-01	",4.2780E+05
"1.5822594E-01	",4.2861E+05
"1.5901707E-01	",4.2941E+05
"1.5981215E-01	",4.3014E+05
"1.6061121E-01	",4.3085E+05
"1.6141427E-01	",4.3153E+05
"1.6222134E-01	",4.3218E+05
"1.6303245E-01	",4.3278E+05
"1.6384761E-01	",4.3336E+05
"1.6466685E-01	",4.3390E+05
"1.6549018E-01	",4.3440E+05
"1.6631763E-01	",4.3489E+05
"1.6714922E-01	",4.3531E+05
"1.6798497E-01	",4.3572E+05
"1.6882489E-01	",4.3608E+05
"1.6966902E-01	",4.3643E+05
"1.7051736E-01	",4.3672E+05
"1.7136995E-01	",4.3699E+05
"1.7222680E-01	",4.3722E+05
"1.7308793E-01	",4.3743E+05
"1.7395337E-01	",4.3759E+05
"1.7482314E-01	",4.3772E+05
"1.7569726E-01	",4.3782E+05
"1.7657574E-01	",4.3790E+05
"1.7745862E-01	",4.3794E+05
"1.7834591E-01	",4.3794E+05
"1.7923764E-01	",4.3790E+05
"1.8013383E-01	",4.3784E+05
"1.8103450E-01	",4.3774E+05
"1.8193967E-01	",4.3763E+05
"1.8284937E-01	",4.3747E+05
"1.8376362E-01	",4.3728E+05
"1.8468244E-01	",4.3707E+05
"1.8560585E-01	",4.3682E+05
"1.8653388E-01	",4.3653E+05
"1.8746655E-01	",4.3622E+05
"1.8840388E-01	",4.3587E+05
"1.8934590E-01	",4.3550E+05
"1.9029263E-01	",4.3512E+05
"1.9124409E-01	",4.3469E+05
"1.9220031E-01	",4.3423E+05
"1.9316131E-01	",4.3375E+05
"1.9412712E-01	",4.3323E+05
"1.9509776E-01	",4.3269E+05
"1.9607325E-01	",4.3213E+05
"1.9705361E-01	",4.3153E+05
"1.9803888E-01	",4.3091E+05
"1.9902907E-01	",4.3025E+05
"2.0002422E-01	",4.2958E+05
"2.0102434E-01	",4.2888E+05
"2.0202946E-01	",4.2817E+05
"2.0303961E-01	",4.2742E+05
"2.0405481E-01	",4.2665E+05
"2.0507508E-01	",4.2584E+05
"2.0610046E-01	",4.2502E+05
"2.0713096E-01	",4.2418E+05
"2.0816661E-01	",4.2331E+05
"2.0920745E-01	",4.2242E+05
"2.1025348E-01	",4.2149E+05
"2.1130475E-01	",4.2057E+05
"2.1236128E-01	",4.1960E+05
"2.1342308E-01	",4.1862E+05
"2.1449020E-01	",4.1761E+05
"2.1556265E-01	",4.1661E+05
"2.1664046E-01	",4.1557E+05
"2.1772366E-01	",4.1451E+05
"2.1881228E-01	",4.1343E+05
"2.1990634E-01	",4.1233E+05
"2.2100588E-01	",4.1121E+05
"2.2211090E-01	",4.1007E+05
"2.2322146E-01	",4.0891E+05
"2.2433757E-01	",4.0773E+05
"2.2545925E-01	",4.0655E+05
"2.2658655E-01	",4.0534E+05
"2.2771948E-01	",4.0412E+05
"2.2885808E-01	",4.0289E+05
"2.3000237E-01	",4.0163E+05
"2.3115238E-01	",4.0036E+05
"2.3230814E-01	",3.9907E+05
"2.3346969E-01	",3.9777E+05
"2.3463703E-01	",3.9646E+05
"2.3581022E-01	",3.9513E+05
"2.3698927E-01	",3.9380E+05
"2.3817422E-01	",3.9245E+05
"2.3936509E-01	",3.9108E+05
"2.4056191E-01	",3.8969E+05
"2.4176472E-01	",3.8830E+05
"2.4297355E-01	",3.8689E+05
"2.4418841E-01	",3.8548E+05
"2.4521055E-01	",3.8428E+05
"2.4540936E-01	",4.0300E+05
"2.4558945E-01	",4.0277E+05
"2.4663640E-01	",4.0132E+05
"2.4786959E-01	",3.9955E+05
"2.4910893E-01	",3.9777E+05
"2.5035448E-01	",3.9600E+05
"2.5160625E-01	",3.9418E+05
"2.5286428E-01	",3.9237E+05
"2.5412860E-01	",3.9055E+05
"2.5539925E-01	",3.8872E+05
"2.5667624E-01	",3.8687E+05
"2.5795962E-01	",3.8502E+05
"2.5859581E-01	",3.8409E+05
"2.5900419E-01	",3.9714E+05
"2.5924942E-01	",3.9675E+05
"2.6054567E-01	",3.9474E+05
"2.6184840E-01	",3.9272E+05
"2.6315764E-01	",3.9069E+05
"2.6447343E-01	",3.8864E+05
"2.6579579E-01	",3.8660E+05
"2.6712477E-01	",3.8455E+05
"2.6846040E-01	",3.8251E+05
"2.6980270E-01	",3.8044E+05
"2.7115171E-01	",3.7838E+05
"2.7250747E-01	",3.7631E+05
"2.7387001E-01	",3.7425E+05
"2.7523936E-01	",3.7218E+05
"2.7661556E-01	",3.7014E+05
"2.7799863E-01	",3.6807E+05
"2.7938863E-01	",3.6602E+05
"2.8078557E-01	",3.6396E+05
"2.8218950E-01	",3.6191E+05
"2.8360044E-01	",3.5987E+05
"2.8501845E-01	",3.5780E+05
"2.8644354E-01	",3.5578E+05
"2.8787576E-01	",3.5373E+05
"2.8931514E-01	",3.5170E+05
"2.9076171E-01	",3.4968E+05
"2.9221552E-01	",3.4767E+05
"2.9367660E-01	",3.4566E+05
"2.9514498E-01	",3.4366E+05
"2.9662071E-01	",3.4167E+05
"2.9810381E-01	",3.3968E+05
"2.9959433E-01	",3.3769E+05
"3.0109230E-01	",3.3572E+05
"3.0259776E-01	",3.3375E+05
"3.0411075E-01	",3.3181E+05
"3.0563130E-01	",3.2986E+05
"3.0715946E-01	",3.2791E+05
"3.0869526E-01	",3.2596E+05
"3.1023873E-01	",3.2403E+05
"3.1178993E-01	",3.2210E+05
"3.1334888E-01	",3.2019E+05
"3.1491562E-01	",3.1828E+05
"3.1649020E-01	",3.1637E+05
"3.1807265E-01	",3.1447E+05
"3.1966301E-01	",3.1258E+05
"3.2126133E-01	",3.1069E+05
"3.2286764E-01	",3.0882E+05
"3.2448197E-01	",3.0695E+05
"3.2610438E-01	",3.0508E+05
"3.2773491E-01	",3.0322E+05
"3.2937358E-01	",3.0137E+05
"3.3102045E-01	",2.9954E+05
"3.3267555E-01	",2.9770E+05
"3.3433893E-01	",2.9587E+05
"3.3601062E-01	",2.9405E+05
"3.3769068E-01	",2.9224E+05
"3.3937913E-01	",2.9045E+05
"3.4107602E-01	",2.8865E+05
"3.4278140E-01	",2.8688E+05
"3.4449531E-01	",2.8508E+05
"3.4621779E-01	",2.8332E+05
"3.4794888E-01	",2.8155E+05
"3.4968862E-01	",2.7979E+05
"3.5143706E-01	",2.7806E+05
"3.5319425E-01	",2.7632E+05
"3.5496022E-01	",2.7458E+05
"3.5673502E-01	",2.7286E+05
"3.5851870E-01	",2.7115E+05
"3.6031129E-01	",2.6945E+05
"3.6211285E-01	",2.6775E+05
"3.6392341E-01	",2.6607E+05
"3.6574303E-01	",2.6439E+05
"3.6757174E-01	",2.6271E+05
"3.6940960E-01	",2.6105E+05
"3.7125665E-01	",2.5939E+05
"3.7311293E-01	",2.5775E+05
"3.7497850E-01	",2.5611E+05
"3.7685339E-01	",2.5449E+05
"3.7873766E-01	",2.5287E+05
"3.8063135E-01	",2.5127E+05
"3.8253450E-01	",2.4966E+05
"3.8444718E-01	",2.4806E+05
"3.8636941E-01	",2.4648E+05
"3.8830126E-01	",2.4492E+05
"3.9024276E-01	",2.4335E+05
"3.9219398E-01	",2.4179E+05
"3.9415495E-01	",2.4025E+05
"3.9612572E-01	",2.3870E+05
"3.9810635E-01	",2.3718E+05
"4.0009688E-01	",2.3565E+05
"4.0209737E-01	",2.3415E+05
"4.0410785E-01	",2.3264E+05
"4.0612839E-01	",2.3116E+05
"4.0815904E-01	",2.2967E+05
"4.1019983E-01	",2.2818E+05
"4.1225083E-01	",2.2672E+05
"4.1431208E-01	",2.2525E+05
"4.1638364E-01	",2.2380E+05
"4.1846556E-01	",2.2237E+05
"4.2055789E-01	",2.2093E+05
"4.2266068E-01	",2.1952E+05
"4.2477398E-01	",2.1809E+05
"4.2477688E-01	",2.1809E+05
"4.2582312E-01	",2.3231E+05
"4.2689785E-01	",2.3158E+05
"4.2903234E-01	",2.3015E+05
"4.3117750E-01	",2.2872E+05
"4.3333339E-01	",2.2730E+05
"4.3550006E-01	",2.2589E+05
"4.3767756E-01	",2.2450E+05
"4.3986595E-01	",2.2311E+05
"4.4206528E-01	",2.2172E+05
"4.4427560E-01	",2.2035E+05
"4.4649698E-01	",2.1898E+05
"4.4872947E-01	",2.1761E+05
"4.5097311E-01	",2.1626E+05
"4.5322798E-01	",2.1492E+05
"4.5549412E-01	",2.1359E+05
"4.5777159E-01	",2.1226E+05
"4.6006045E-01	",2.1095E+05
"4.6236075E-01	",2.0964E+05
"4.6467255E-01	",2.0832E+05
"4.6699592E-01	",2.0703E+05
"4.6933090E-01	",2.0574E+05
"4.7167755E-01	",2.0446E+05
"4.7403594E-01	",2.0319E+05
"4.7640612E-01	",2.0194E+05
"4.7878815E-01	",2.0066E+05
"4.8118209E-01	",1.9943E+05
"4.8358800E-01	",1.9817E+05
"4.8600594E-01	",1.9694E+05
"4.8843597E-01	",1.9572E+05
"4.9087815E-01	",1.9449E+05
"4.9092160E-01	",1.9447E+05
"4.9227841E-01	",1.9698E+05
"4.9333254E-01	",1.9645E+05
"4.9579920E-01	",1.9524E+05
"4.9827820E-01	",1.9404E+05
"5.0076959E-01	",1.9285E+05
"5.0327344E-01	",1.9166E+05
"5.0578980E-01	",1.9048E+05
"5.0831875E-01	",1.8930E+05
"5.1086035E-01	",1.8813E+05
"5.1341465E-01	",1.8697E+05
"5.1598172E-01	",1.8582E+05
"5.1856163E-01	",1.8467E+05
"5.2115444E-01	",1.8352E+05
"5.2376021E-01	",1.8239E+05
"5.2637901E-01	",1.8126E+05
"5.2901091E-01	",1.8013E+05
"5.3165596E-01	",1.7901E+05
"5.3431424E-01	",1.7790E+05
"5.3698581E-01	",1.7679E+05
"5.3967074E-01	",1.7569E+05
"5.4236910E-01	",1.7460E+05
"5.4508094E-01	",1.7351E+05
"5.4780635E-01	",1.7242E+05
"5.5054538E-01	",1.7134E+05
"5.5329810E-01	",1.7027E+05
"5.5606460E-01	",1.6920E+05
"5.5884492E-01	",1.6814E+05
"5.6163914E-01	",1.6708E+05
"5.6444734E-01	",1.6603E+05
"5.6726958E-01	",1.6499E+05
"5.7010592E-01	",1.6395E+05
"5.7295645E-01	",1.6291E+05
"5.7582123E-01	",1.6188E+05
"5.7870034E-01	",1.6085E+05
"5.8159384E-01	",1.5983E+05
"5.8450181E-01	",1.5882E+05
"5.8742432E-01	",1.5781E+05
"5.9036144E-01	",1.5680E+05
"5.9331325E-01	",1.5580E+05
"5.9410753E-01	",1.5553E+05
"5.9589253E-01	",1.5889E+05
"5.9627982E-01	",1.5875E+05
"5.9926122E-01	",1.5775E+05
"6.0225752E-01	",1.5675E+05
"6.0526881E-01	",1.5575E+05
"6.0829515E-01	",1.5476E+05
"6.1133663E-01	",1.5378E+05
"6.1439331E-01	",1.5280E+05
"6.1746528E-01	",1.5182E+05
"6.2055260E-01	",1.5085E+05
"6.2365537E-01	",1.4988E+05
"6.2677364E-01	",1.4892E+05
"6.2990751E-01	",1.4796E+05
"6.3305705E-01	",1.4693E+05
"6.3622234E-01	",1.4586E+05
"6.3940345E-01	",1.4479E+05
"6.4260046E-01	",1.4374E+05
"6.4581347E-01	",1.4268E+05
"6.4904253E-01	",1.4164E+05
"6.5228775E-01	",1.4060E+05
"6.5554919E-01	",1.3957E+05
"6.5882693E-01	",1.3854E+05
"6.6212107E-01	",1.3752E+05
"6.6543167E-01	",1.3650E+05
"6.6875883E-01	",1.3549E+05
"6.7210262E-01	",1.3449E+05
"6.7546314E-01	",1.3349E+05
"6.7884045E-01	",1.3249E+05
"6.8223466E-01	",1.3151E+05
"6.8564583E-01	",1.3052E+05
"6.8907406E-01	",1.2947E+05
"6.9251943E-01	",1.2842E+05
"6.9598202E-01	",1.2739E+05
"6.9946194E-01	",1.2636E+05
"7.0295924E-01	",1.2533E+05
"7.0647404E-01	",1.2432E+05
"7.1000641E-01	",1.2331E+05
"7.1355644E-01	",1.2230E+05
"7.1712423E-01	",1.2130E+05
"7.2070985E-01	",1.2031E+05
"7.2431340E-01	",1.1932E+05
"7.2793496E-01	",1.1833E+05
"7.3157464E-01	",1.1735E+05
"7.3523251E-01	",1.1638E+05
"7.3890867E-01	",1.1542E+05
"7.4260322E-01	",1.1445E+05
"7.4631623E-01	",1.1350E+05
"7.5004781E-01	",1.1256E+05
"7.5379805E-01	",1.1162E+05
"7.5756704E-01	",1.1068E+05
"7.6135488E-01	",1.0976E+05
"7.6516165E-01	",1.0883E+05
"7.6898746E-01	",1.0792E+05
"7.7283240E-01	",1.0701E+05
"7.7669656E-01	",1.0611E+05
"7.8058004E-01	",1.0521E+05
"7.8448294E-01	",1.0432E+05
"7.8840536E-01	",1.0344E+05
"7.9234738E-01	",1.0256E+05
"7.9630912E-01	",1.0169E+05
"8.0029067E-01	",1.0082E+05
"8.0429212E-01	",9.9964E+04
"8.0831358E-01	",9.9111E+04
"8.1235515E-01	",9.8264E+04
"8.1641693E-01	",9.7424E+04
"8.2049901E-01	",9.6589E+04
"8.2460150E-01	",9.5761E+04
"8.2872451E-01	",9.4937E+04
"8.3286813E-01	",9.4120E+04
"8.3703248E-01	",9.3306E+04
"8.4121764E-01	",9.2499E+04
"8.4542373E-01	",9.1698E+04
"8.4965084E-01	",9.0903E+04
"8.5389910E-01	",9.0114E+04
"8.5816859E-01	",8.9330E+04
"8.6245944E-01	",8.8550E+04
"8.6677173E-01	",8.7778E+04
"8.7110559E-01	",8.7012E+04
"8.7546112E-01	",8.6252E+04
"8.7983843E-01	",8.5497E+04
"8.8423762E-01	",8.4748E+04
"8.8865881E-01	",8.4003E+04
"8.9310210E-01	",8.3266E+04
"8.9756761E-01	",8.2533E+04
"9.0205545E-01	",8.1807E+04
"9.0656573E-01	",8.1085E+04
"9.1109856E-01	",8.0369E+04
"9.1565405E-01	",7.9661E+04
"9.2023232E-01	",7.8956E+04
"9.2483348E-01	",7.8256E+04
"9.2945765E-01	",7.7563E+04
"9.3410494E-01	",7.6874E+04
"9.3877546E-01	",7.6193E+04
"9.4346934E-01	",7.5515E+04
"9.4818668E-01	",7.4843E+04
"9.5292762E-01	",7.4176E+04
"9.5769226E-01	",7.3516E+04
"9.6248072E-01	",7.2859E+04
"9.6729312E-01	",7.2209E+04
"9.7212959E-01	",7.1562E+04
"9.7699023E-01	",7.0924E+04
"9.8187519E-01	",7.0289E+04
"9.8678456E-01	",6.9659E+04
"9.9171848E-01	",6.9034E+04
"9.9667708E-01	",6.8415E+04
"1.0016605E+00	",6.7753E+04
"1.0066688E+00	",6.7000E+04
"1.0117021E+00	",6.6253E+04
"1.0167606E+00	",6.5518E+04
"1.0218444E+00	",6.4790E+04
"1.0269536E+00	",6.4072E+04
"1.0320884E+00	",6.3362E+04
"1.0372489E+00	",6.2648E+04
"1.0424351E+00	",6.1926E+04
"1.0476473E+00	",6.1212E+04
"1.0528855E+00	",6.0507E+04
"1.0581499E+00	",5.9811E+04
"1.0634407E+00	",5.9126E+04
"1.0687579E+00	",5.8446E+04
"1.0741017E+00	",5.7778E+04
"1.0794722E+00	",5.7116E+04
"1.0848695E+00	",5.6464E+04
"1.0902939E+00	",5.5821E+04
"1.0957454E+00	",5.5184E+04
"1.1012241E+00	",5.4557E+04
"1.1067302E+00	",5.3938E+04
"1.1122639E+00	",5.3326E+04
"1.1178252E+00	",5.2722E+04
"1.1234143E+00	",5.2125E+04
"1.1290314E+00	",5.1535E+04
"1.1346765E+00	",5.0954E+04
"1.1403499E+00	",5.0381E+04
"1.1460517E+00	",4.9813E+04
"1.1517819E+00	",4.9254E+04
"1.1575408E+00	",4.8700E+04
"1.1633285E+00	",4.8154E+04
"1.1691452E+00	",4.7615E+04
"1.1749909E+00	",4.7082E+04
"1.1808659E+00	",4.6557E+04
"1.1867702E+00	",4.6038E+04
"1.1927040E+00	",4.5525E+04
"1.1986676E+00	",4.5019E+04
"1.2046609E+00	",4.4519E+04
"1.2106842E+00	",4.4025E+04
"1.2167376E+00	",4.3537E+04
"1.2228213E+00	",4.3056E+04
"1.2289354E+00	",4.2580E+04
"1.2350801E+00	",4.2111E+04
"1.2412555E+00	",4.1646E+04
"1.2474618E+00	",4.1188E+04
"1.2536991E+00	",4.0735E+04
"1.2599676E+00	",4.0289E+04
"1.2662674E+00	",3.9847E+04
"1.2725988E+00	",3.9411E+04
"1.2789618E+00	",3.8980E+04
"1.2853566E+00	",3.8554E+04
"1.2917833E+00	",3.8133E+04
"1.2982423E+00	",3.7718E+04
"1.3047335E+00	",3.7309E+04
"1.3112571E+00	",3.6904E+04
"1.3178134E+00	",3.6502E+04
"1.3244025E+00	",3.6106E+04
"1.3310245E+00	",3.5717E+04
"1.3376796E+00	",3.5331E+04
"1.3443680E+00	",3.4950E+04
"1.3510899E+00	",3.4572E+04
"1.3578453E+00	",3.4202E+04
"1.3646345E+00	",3.3833E+04
"1.3714577E+00	",3.3470E+04
"1.3783150E+00	",3.3111E+04
"1.3852066E+00	",3.2758E+04
"1.3921326E+00	",3.2407E+04
"1.3990933E+00	",3.2061E+04
"1.4060887E+00	",3.1720E+04
"1.4131192E+00	",3.1382E+04
"1.4201848E+00	",3.1048E+04
"1.4272857E+00	",3.0718E+04
"1.4344221E+00	",3.0392E+04
"1.4415942E+00	",3.0069E+04
"1.4488022E+00	",2.9751E+04
"1.4560462E+00	",2.9436E+04
"1.4633265E+00	",2.9126E+04
"1.4706431E+00	",2.8819E+04
"1.4779963E+00	",2.8516E+04
"1.4853863E+00	",2.8217E+04
"1.4928132E+00	",2.7919E+04
"1.5002773E+00	",2.7626E+04
"1.5077787E+00	",2.7337E+04
"1.5153176E+00	",2.7051E+04
"1.5228942E+00	",2.6769E+04
"1.5305086E+00	",2.6489E+04
"1.5381612E+00	",2.6213E+04
"1.5458520E+00	",2.5939E+04
"1.5535812E+00	",2.5671E+04
"1.5613491E+00	",2.5405E+04
"1.5691559E+00	",2.5140E+04
"1.5770017E+00	",2.4880E+04
"1.5848867E+00	",2.4623E+04
"1.5928111E+00	",2.4368E+04
"1.6007752E+00	",2.4117E+04
"1.6087790E+00	",2.3868E+04
"1.6168229E+00	",2.3623E+04
"1.6249070E+00	",2.3380E+04
"1.6330316E+00	",2.3141E+04
"1.6411967E+00	",2.2903E+04
"1.6494027E+00	",2.2670E+04
"1.6576497E+00	",2.2436E+04
"1.6659380E+00	",2.2209E+04
"1.6742677E+00	",2.1981E+04
"1.6826390E+00	",2.1757E+04
"1.6910522E+00	",2.1537E+04
"1.6995075E+00	",2.1317E+04
"1.7080050E+00	",2.1097E+04
"1.7165450E+00	",2.0879E+04
"1.7251278E+00	",2.0663E+04
"1.7337534E+00	",2.0448E+04
"1.7424222E+00	",2.0236E+04
"1.7511343E+00	",2.0028E+04
"1.7598899E+00	",1.9821E+04
"1.7686894E+00	",1.9617E+04
"1.7775328E+00	",1.9416E+04
"1.7864205E+00	",1.9215E+04
"1.7953526E+00	",1.9018E+04
"1.8043294E+00	",1.8823E+04
"1.8088491E+00	",1.8726E+04
"1.8095510E+00	",6.2764E+04
"1.8133510E+00	",6.2445E+04
"1.8224178E+00	",6.1698E+04
"1.8315299E+00	",6.0959E+04
"1.8406875E+00	",6.0230E+04
"1.8498909E+00	",5.9510E+04
"1.8591404E+00	",5.8797E+04
"1.8684361E+00	",5.8095E+04
"1.8709394E+00	",5.7908E+04
"1.8722607E+00	",8.5848E+04
"1.8777783E+00	",8.5233E+04
"1.8871672E+00	",8.4200E+04
"1.8966030E+00	",8.3181E+04
"1.9060860E+00	",8.2174E+04
"1.9156165E+00	",8.1180E+04
"1.9251945E+00	",8.0197E+04
"1.9348205E+00	",7.9228E+04
"1.9444946E+00	",7.8269E+04
"1.9542171E+00	",7.7324E+04
"1.9639882E+00	",7.6389E+04
"1.9738081E+00	",7.5465E+04
"1.9836772E+00	",7.4552E+04
"1.9935955E+00	",7.3649E+04
"2.0035635E+00	",7.2757E+04
"2.0135813E+00	",7.1877E+04
"2.0236492E+00	",7.1009E+04
"2.0337675E+00	",7.0150E+04
"2.0439363E+00	",6.9302E+04
"2.0541560E+00	",6.8465E+04
"2.0644268E+00	",6.7637E+04
"2.0747489E+00	",6.6820E+04
"2.0851227E+00	",6.6012E+04
"2.0955483E+00	",6.5217E+04
"2.1060260E+00	",6.4429E+04
"2.1165562E+00	",6.3651E+04
"2.1271389E+00	",6.2883E+04
"2.1377746E+00	",6.2125E+04
"2.1484635E+00	",6.1376E+04
"2.1592058E+00	",6.0637E+04
"2.1700018E+00	",5.9905E+04
"2.1808519E+00	",5.9183E+04
"2.1917561E+00	",5.8471E+04
"2.2027149E+00	",5.7767E+04
"2.2137285E+00	",5.7072E+04
"2.2247971E+00	",5.6385E+04
"2.2359211E+00	",5.5706E+04
"2.2471007E+00	",5.5036E+04
"2.2583362E+00	",5.4374E+04
"2.2696279E+00	",5.3720E+04
"2.2786505E+00	",5.3206E+04
"2.2809760E+00	",5.3075E+04
"2.2833493E+00	",6.2283E+04
"2.2923809E+00	",6.1656E+04
"2.3038428E+00	",6.0870E+04
"2.3153620E+00	",6.0096E+04
"2.3269388E+00	",5.9332E+04
"2.3385735E+00	",5.8577E+04
"2.3502664E+00	",5.7832E+04
"2.3620177E+00	",5.7087E+04
"2.3738278E+00	",5.6348E+04
"2.3856970E+00	",5.5617E+04
"2.3976254E+00	",5.4912E+04
"2.4096136E+00	",5.4247E+04
"2.4216616E+00	",5.3592E+04
"2.4337699E+00	",5.2946E+04
"2.4459388E+00	",5.2303E+04
"2.4581685E+00	",5.1670E+04
"2.4704593E+00	",5.1047E+04
"2.4828116E+00	",5.0431E+04
"2.4952257E+00	",4.9827E+04
"2.5077018E+00	",4.9230E+04
"2.5202403E+00	",4.8642E+04
"2.5328415E+00	",4.8063E+04
"2.5455057E+00	",4.7492E+04
"2.5582333E+00	",4.6930E+04
"2.5710244E+00	",4.6374E+04
"2.5716555E+00	",4.6347E+04
"2.5781443E+00	",4.9313E+04
"2.5838796E+00	",4.9043E+04
"2.5967990E+00	",4.8443E+04
"2.6097829E+00	",4.7850E+04
"2.6228319E+00	",4.7268E+04
"2.6359460E+00	",4.6692E+04
"2.6491257E+00	",4.6125E+04
"2.6623714E+00	",4.5565E+04
"2.6756832E+00	",4.5011E+04
